,Predictions,Actual
239,0.99984014,1.3781306
240,0.99985576,1.164545
241,0.99967384,1.3781306
242,0.9999275,1.5205208
243,0.99986684,1.4493257
244,0.999828,1.2357403
245,0.99981564,1.3069354
246,0.9999075,1.3069354
247,0.9998486,1.3069354
248,0.99986196,1.164545
249,0.9997707,1.2357403
250,0.9999118,1.164545
251,0.99975675,1.0221548
252,0.99958485,1.164545
253,0.99993074,1.3781306
254,0.99986506,1.2357403
255,0.9996816,1.2357403
256,0.999913,1.0933499
257,0.9995995,1.164545
258,0.99990773,1.0933499
259,0.99958307,0.80856943
260,0.967404,0.95095974
261,0.9999367,1.0933499
262,0.99914837,1.2357403
263,0.9997875,1.3069354
264,0.9998783,0.7373743
265,0.18296541,-0.5441381
266,0.008441016,0.025422977
267,0.63016325,0.59498405
268,0.7684081,0.95095974
269,0.9032224,0.87976456
270,0.6768937,0.7373743
271,0.51737094,0.6661792
272,0.6037527,0.80856943
273,0.81101394,0.7373743
274,0.4619133,0.7373743
275,0.6876396,0.38139865
276,0.322705,0.09661811
277,0.07403897,0.16781324
278,0.29358813,0.38139865
279,0.48134255,0.23900838
280,0.3646357,0.45259377
281,0.5027855,0.5237889
282,0.5526189,0.5237889
283,0.55540425,0.95095974
284,0.7072066,0.95095974
285,0.5847221,0.31020352
286,0.041517563,-0.045772154
287,0.018473715,0.31020352
288,0.28265595,0.7373743
289,0.53767604,0.87976456
290,0.59860915,0.80856943
291,0.6061356,0.95095974
292,0.6792924,0.95095974
293,0.63092315,-0.11696729
294,-0.07677662,-0.11696729
295,0.08677863,-0.11696729
296,-0.13840517,-0.3305527
297,-0.07204926,0.09661811
298,0.019815002,0.09661811
299,0.19217868,0.23900838
300,0.24123241,0.38139865
301,0.26888892,0.23900838
302,0.23123357,0.16781324
303,0.22740619,0.025422977
304,0.15048735,0.09661811
305,0.22335055,0.31020352
306,0.25456655,0.16781324
307,0.2104315,0.31020352
308,0.25430194,0.23900838
309,0.21341963,0.23900838
310,0.22552639,0.31020352
311,0.22984788,0.16781324
312,0.19712833,0.16781324
313,0.20769805,-0.3305527
314,-0.5283059,-0.90011376
315,-0.36801627,-0.6153332
316,-0.15819709,-0.18816242
